Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,29,2,30,22.9,0
2019,1,29,3,30,22.6,0
2019,1,29,4,30,22.1,0
2019,1,29,5,30,22.7,0
2019,1,29,6,30,24.6,63
2019,1,29,7,30,26.9,24
2019,1,29,8,30,29.2,232
2019,1,29,9,30,31.7,656
2019,1,29,10,30,34,790
2019,1,29,11,30,35.5,855
2019,1,29,12,30,36.2,809
2019,1,29,13,30,36.4,719
2019,1,29,14,30,35.9,560
2019,1,29,15,30,34.4,360
2019,1,29,16,30,31.8,138
2019,1,29,17,30,29.7,1
2019,1,29,18,30,28.6,0
2019,1,29,19,30,27.7,0
2019,1,29,20,30,27,0
2019,1,29,21,30,26.2,0
2019,1,29,22,30,25.5,0
2019,1,29,23,30,25.1,0
2019,1,30,0,30,24.1,0
2019,1,30,1,30,23.4,0
2019,1,30,2,30,23.1,0
2019,1,30,3,30,23,0
2019,1,30,4,30,23,0
2019,1,30,5,30,23.7,0
2019,1,30,6,30,25.7,45
2019,1,30,7,30,28.2,183
2019,1,30,8,30,30.4,420
2019,1,30,9,30,32.3,489
2019,1,30,10,30,33.9,731
2019,1,30,11,30,35,773
2019,1,30,12,30,35.7,693
2019,1,30,13,30,35.8,534
2019,1,30,14,30,35.5,561
2019,1,30,15,30,34.5,313
2019,1,30,16,30,32.7,151
2019,1,30,17,30,31.1,1
2019,1,30,18,30,30.3,0
2019,1,30,19,30,29.5,0
2019,1,30,20,30,28.6,0
2019,1,30,21,30,27.9,0
2019,1,30,22,30,27.3,0
2019,1,30,23,30,27,0
2019,1,31,0,30,26,0
2019,1,31,1,30,25.4,0
2019,1,31,2,30,24.9,0
2019,1,31,3,30,24.5,0
2019,1,31,4,30,24.1,0
2019,1,31,5,30,24.3,0
2019,1,31,6,30,26,42
2019,1,31,7,30,28.5,246
2019,1,31,8,30,30.9,464
2019,1,31,9,30,32.6,615
2019,1,31,10,30,34,742
2019,1,31,11,30,35,798
2019,1,31,12,30,35.7,786
2019,1,31,13,30,35.8,696
2019,1,31,14,30,35.4,541
2019,1,31,15,30,34.3,341
2019,1,31,16,30,32.1,124
2019,1,31,17,30,30.1,0
2019,1,31,18,30,29,0
2019,1,31,19,30,28,0
2019,1,31,20,30,27,0
2019,1,31,21,30,25.9,0
2019,1,31,22,30,24.8,0
2019,1,31,23,30,24.3,0
2019,2,1,0,30,23.5,0
2019,2,1,1,30,23.1,0
2019,2,1,2,30,22.7,0
2019,2,1,3,30,22.4,0
2019,2,1,4,30,22,0
2019,2,1,5,30,22.5,0
2019,2,1,6,30,24.6,43
2019,2,1,7,30,27.2,251
2019,2,1,8,30,29.3,472
2019,2,1,9,30,31,634
2019,2,1,10,30,32.6,760
2019,2,1,11,30,33.6,794
2019,2,1,12,30,33.9,732
2019,2,1,13,30,33.3,643
2019,2,1,14,30,32.1,501
2019,2,1,15,30,29.9,354
2019,2,1,16,30,27.1,139
2019,2,1,17,30,24.8,1
2019,2,1,18,30,23.6,0
2019,2,1,19,30,22.9,0
2019,2,1,20,30,22.5,0
2019,2,1,21,30,22,0
2019,2,1,22,30,21.7,0
2019,2,1,23,30,21.5,0
2019,2,2,0,30,21.5,0
2019,2,2,1,30,21.6,0
2019,2,2,2,30,21.8,0
2019,2,2,3,30,21.8,0
2019,2,2,4,30,21.7,0
2019,2,2,5,30,22,0
2019,2,2,6,30,23.2,50
2019,2,2,7,30,25.3,212
2019,2,2,8,30,27.5,411
2019,2,2,9,30,29.2,540
2019,2,2,10,30,30.4,693
2019,2,2,11,30,31.1,722
2019,2,2,12,30,31.4,726
2019,2,2,13,30,31.4,658
2019,2,2,14,30,31.1,506
2019,2,2,15,30,30.1,375
2019,2,2,16,30,28.6,73
2019,2,2,17,30,27.6,1
2019,2,2,18,30,26.9,0
2019,2,2,19,30,26.2,0
2019,2,2,20,30,25.5,0
2019,2,2,21,30,24.7,0
2019,2,2,22,30,24.1,0
2019,2,2,23,30,23.8,0
2019,2,3,0,30,22.9,0
2019,2,3,1,30,22.3,0
2019,2,3,2,30,21.8,0
2019,2,3,3,30,21.4,0
2019,2,3,4,30,21.1,0
2019,2,3,5,30,21.8,0
2019,2,3,6,30,23.9,51
2019,2,3,7,30,26.9,226
2019,2,3,8,30,30.1,441
2019,2,3,9,30,32.7,621
2019,2,3,10,30,34.4,746
2019,2,3,11,30,35.5,802
2019,2,3,12,30,36.2,825
2019,2,3,13,30,36.3,736
2019,2,3,14,30,35.8,581
2019,2,3,15,30,34.3,377
2019,2,3,16,30,31.2,155
2019,2,3,17,30,28.6,1
2019,2,3,18,30,27.4,0
2019,2,3,19,30,26.7,0
2019,2,3,20,30,26.4,0
2019,2,3,21,30,26.3,0
2019,2,3,22,30,25.9,0
2019,2,3,23,30,25.5,0
2019,2,4,0,30,23.7,0
2019,2,4,1,30,22.8,0
2019,2,4,2,30,22.1,0
2019,2,4,3,30,21.6,0
2019,2,4,4,30,21.3,0
2019,2,4,5,30,22,0
2019,2,4,6,30,24,57
